,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3,0.0007996082305908204,0.000399804154394406,0.00019989013671875,0.0003997802734375,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",1.0,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333334,0.9666666666666666,0.031180478223116186,8
4,0.0007994174957275391,0.0003997088154145095,0.0003996372222900391,0.0004894536442237294,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",1.0,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333334,0.9666666666666666,0.031180478223116186,8
5,0.0009995460510253905,7.168434323488669e-07,0.00019993782043457032,0.00039987564086914064,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",1.0,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333334,0.9666666666666666,0.031180478223116186,8
10,0.0009993553161621095,0.0006322589856958583,0.0003998279571533203,0.0004896872457665585,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",1.0,0.9583333333333334,0.875,1.0,0.9583333333333334,0.9583333333333334,0.045643546458763846,14
23,0.00039987564086914064,0.00048974566356235,0.0005995750427246094,0.0004895511891391698,100,,linear,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,0.9583333333333334,0.875,1.0,0.9583333333333334,0.9583333333333334,0.045643546458763846,14
9,0.000999116897583008,1.9073486328124998e-07,0.00020012855529785156,0.0004002571105957031,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",1.0,0.9583333333333334,0.875,1.0,0.9583333333333334,0.9583333333333334,0.045643546458763846,14
21,0.0009994983673095703,4.6231077741778654e-07,0.00019993782043457032,0.00039987564086914064,100,,linear,0.01,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",1.0,0.9583333333333334,0.875,1.0,0.9583333333333334,0.9583333333333334,0.045643546458763846,14
6,0.000799560546875,0.000399780330312157,0.0003997802734375,0.0004896288627950879,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",1.0,0.9583333333333334,0.875,1.0,0.9583333333333334,0.9583333333333334,0.045643546458763846,14
44,0.00099945068359375,6.03156597169567e-07,0.00059967041015625,0.0004896289092330497,1,,,1,"{'C': 1, 'gamma': 1}",1.0,0.9583333333333334,0.875,1.0,0.9583333333333334,0.9583333333333334,0.045643546458763846,14
7,0.0009996414184570313,8.714517060516866e-07,0.0,0.0,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",1.0,0.9583333333333334,0.875,1.0,0.9583333333333334,0.9583333333333334,0.045643546458763846,14
11,0.0007994651794433593,0.00039973271770491175,0.00019998550415039061,0.00039997100830078123,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",1.0,0.9583333333333334,0.875,1.0,0.9583333333333334,0.9583333333333334,0.045643546458763846,14
8,0.0005997180938720703,0.000489667780906084,0.0005996227264404297,0.0004895899369462772,100,5,linear,,"{'C': 100, 'degree': 5, 'kernel': 'linear'}",1.0,0.9583333333333334,0.875,1.0,0.9583333333333334,0.9583333333333334,0.045643546458763846,14
42,0.0011993885040283204,0.0003998757261607768,0.0005995750427246094,0.0004895510265804805,0.1,,,1,"{'C': 0.1, 'gamma': 1}",1.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.95,0.06666666666666667,23
16,0.0003997802734375,0.0004896288395761052,0.0005998611450195312,0.0004897851619666932,10,,rbf,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.95,0.06666666666666667,23
41,0.000799560546875,0.00039978030187482947,0.0003998279571533203,0.0004896872457665585,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,0.9583333333333334,0.8333333333333334,1.0,0.9166666666666666,0.9416666666666668,0.06236095644623235,25
38,0.0005995750427246094,0.0004895510033578063,0.00039987564086914064,0.0004897456403489048,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,0.9583333333333334,0.8333333333333334,1.0,0.9166666666666666,0.9416666666666668,0.06236095644623235,25
32,0.0015989780426025391,0.001199054736980322,0.0005997180938720703,0.000489667920208884,10,3,sigmoid,0.0001,"{'C': 10, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,27
31,0.0009977340698242188,3.620195941181623e-06,0.0004014492034912109,0.0004916807666968819,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,1.0,0.8333333333333334,1.0,0.875,0.9333333333333333,0.067700320038633,27
29,0.0012000083923339843,0.0003992085814529678,0.000598907470703125,0.0004890063748416951,1,4,sigmoid,0.0001,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,27
34,0.001197671890258789,0.00040098715203839907,0.00039973258972167967,0.0004895704449951435,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,1.0,0.8333333333333334,1.0,0.875,0.9333333333333333,0.067700320038633,27
18,0.0019989490509033205,4.862803948967729e-07,0.0,0.0,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,27
26,0.001199626922607422,0.0003998758398829301,0.0003996849060058594,0.0004895121317013902,1,3,sigmoid,0.0001,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,27
25,0.000999307632446289,5.135693366178993e-07,0.0003997802734375,0.000489628932452029,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,27
